sender,message
lilach, יואו מה יבשה
lilach, מה יבש בי
lilach, חחחחחחחחח אני מאתגרת אותך
lilach, סתם אני פשוט לא אוהבת לדבר בוואטספ לא יודעת
lilach, שתדע לך שיחסית אנחנו מדברים הרבה
lilach, יחסית אליי
lilach, מה היום שלחתי לך תמונה שאני בים
lilach, זה צעד משמעותי בשבילי
lilach, חחחחח כי מה יפה לי
lilach, אז זה רקובה
lilach, רקוב
lilach, חחחחחח די אני מדברת מלא אני לא מבינה מה לא בסדר
lilach, סתם האמת יש לך חברה ולא נעים היא מהשכבה
lilach, אני לא יכולה לפתח איתך שיחות ככה
lilach, עדיין לא הייתי רוצה שחבר שלי ידבר עם מישהי אחרת
lilach, ברור שהבנתי אידיוט
lilach, לאאאאא
lilach, כיף לי לדבר איתך נשבעת
lilach, פשוט שלא תחשוב שאני יבשה
lilach, כי יש לזה סיבב
lilach, סיבה
lilach, חחחח אוקיי
lilach, שווים
lilach, אתה לא מבין איך נשרפתי
lilach, כל הפנים שלי אדומות חחחח
lilach, חחחחח בחיים לא
lilach, עזוב שתישאר עם זיכרונות טוביפ ממני
lilach, חחחחחחחחחחחחח יואו
lilach, תמות מזה
lilach, ימעליב
lilach, חחחח התכבה לי האייפון
lilach, חחחח דלוק
lilach, הם רוצים ללכת לבר
lilach, אבל אני בכלל רעבה חחחח
lilach, חחחחחחחח יש לי משהו יותר טוב
lilach, חחחחח הולכות ל101 בורגר
lilach, חחחח אכלת שם?
lilach, חחחחחח אוי
lilach, תשבע
lilach, <‎image omitted>
lilach, בחזרההההה
lilach, עם לב
lilach, חחחחחחח לאלא במצח לא מספק אותן
lilach, יולי מוסרת צרפתית
lilach, חחחחחחחחח
lilach, <‎image omitted>
lilach, אירגנו למחר פלמחייים
lilach, <‎image omitted>
lilach, בוטל
lilach, חחח כמה אימהות לא מרשות
lilach, נסענו לצוק
lilach, חחחחחחח לגמרי
lilach, דפקו אותנו
lilach, חצוף
lilach, אל תדאג גם לשם נגיע
lilach, שנה הבאה
lilach, עישנתם ירוק?
lilach, חחחחח
lilach, השמועה אומרת שכן
lilach, שמועה
lilach, <‎image omitted>
lilach, חחחחחח
lilach, הוא מוסר בחזרה
lilach, <‎image omitted>
lilach, חחחחחחחח קטלני
lilach, למההה יבשה
lilach, <‎image omitted>
lilach, חחחחחח מאוחר מדי
lilach, יש לי 5 אחוווז
lilach, אני ידבר איתך שאני יגיע
lilach, חחחח נירדמתייייי
lilach, מתי אתה חוזר ?
lilach, יבש
lilach, חחחחחח כן
lilach, חחחחחחח שוטפת את האוטו
lilach, כיף חיים
lilach, חחחחחחחח זדיין
lilach, חחחחחחח כן עוד לא קניתי כלום
lilach, חחחחח לא אני יקנה תכף
lilach, הגזמת גם מה צריך
lilach, עט ומחברת
lilach, <‎image omitted>
lilach, בבריכה של גל
lilach, חחחחח אתה מוזמן תמיד
lilach, חחחחחח נעבוד על זה שתחזור
lilach, תבואו כולם
lilach, חחחחחחח מתאים לי
lilach, חחחחחח סתם צוחקת
lilach, לא פאדחן
lilach, אני באמת לא רוצה
lilach, זה מצחיק והכל אבל לא
lilach, לא רע אבל לא בא לי
lilach, אני בחופש לא רוצה אף אחד
lilach, חחחחחח נכון
lilach, חחחחחח כן זאת הסיבה
lilach, שקרן נכון לא באמת דיברת איתו?
lilach, חחחחח לא צריך לדבר עם אף אחד
lilach, אני מסתדרת 😉
lilach, אין לי תשובה מספיק עוקצנית כרגע
lilach, חחחחחחחח לאלא
lilach, תשלח תמונות כבר
lilach, מגנייייב
lilach, כן אנחנו נוסעות החלטנו
lilach, לאמסטרדם ברלין
lilach, <‎image omitted>
lilach, חחחחחח תודה
lilach, חחחחח הסעודה האחרונה
lilach, חחחחח מה מגניב ממש
lilach, מה למה
lilach, שימו מעיל ומטרייה
lilach, חחח
lilach, חחחחחח אוי
lilach, אז תקנו ולכו להסתובב בקניונים
lilach, אה בעצם לילה כבר
lilach, תהנווו ❤️
lilach, <‎image omitted>
lilach, בפעם האחרונה
lilach, חחח כן שווה פה
lilach, לא לא היה משו
lilach, הרסתם
lilach, חחחחחחחחחחחחחחח
lilach, שיט
lilach, איזה רקוב
lilach, <‎image omitted>
lilach, כי אמרתי
lilach, היי נאנו
lilach, נאנו דלאלה שליטה מי לא יודע
lilach, חחחחח
lilach, עדיין היית מתחלף איתנו
lilach, <‎image omitted>
lilach, תראה מה שמו באמפי
lilach, בי
lilach, חחחחח במתמטיקה
lilach, אני תכף מצטרפת
lilach, היא לא זוכרת אותך
lilach, חחחחחחחח לא שכחה
lilach, לא לא קורה
lilach, מקווה גםםם
lilach, יש לי בינתיים 80
lilach, אבל אני יעשה חורף
lilach, חחחחח לא סומכת עלייך
lilach, לא יודעת רקוב
lilach, טוב אם אני יצטרך עזרה אני אפנה אלייך
lilach, <‎image omitted>
lilach, די אין לי כוח
lilach, חחחחח מאז שעזבתם רק השתפר
lilach, חחח חייב תגובה מעצבנת
lilach, חחחח טוב כן תלוי איך מסתכלים על זה
lilach, נחמד
lilach, למה??
lilach, עכשיו??
lilach, אבל עוד לא סיימת ללמוד
lilach, באסהההה
lilach, לכמה זמן?
lilach, בקטנה
lilach, ולא חוזרים הביתה בטירונות??
lilach, חחחחחחחח מאיפה לי
lilach, באה לאן
lilach, חחחח אהה
lilach, אני אחשוב על זה
lilach, נראה
lilach, חחחחח בשבילך
lilach, בבית
lilach, חחחחח אוי
lilach, מתנשא
lilach, גם בטעות נירדמתי ישר שחזרנו וקמתי עכשיו
lilach, כןן
lilach, חחחחחח כןכן
lilach, חחחח בוקר אה
lilach, כבר סיימתי ללמוד לפני שעה
lilach, חחחחח
lilach, אינה דיברה עליכם היום
lilach, כן
lilach, היא אמרה שהיה לכם ציונים גרועים מועד אה
lilach, אנ
lilach, א
lilach, ושיפרתם כולם
lilach, יואו
lilach, ילד חרא
lilach, חחחח תשאל אותה היא תצטרך
lilach, חחחח אנחנו נתייעץ ונחזור אלייך
lilach, מה עם אופיר למה אתה לא עוזר לה?
lilach, אני אבקש עזרה מבלסיאנו
lilach, הוא יותר חכם ממך בטח
lilach, חחח לא נורא בכל זאת
lilach, הייתה לי הרגשה
lilach, חחחחח לאלא רוצה אותו
lilach, סתם רוצה שיעזור סומכת עליו וזה
lilach, כן
lilach, ניראה רציני יותר
lilach, באהבה
lilach, באהבה ובכנות
lilach, חחחחחחחח
lilach, נו מיצית את אמסטרדם?
lilach, אה כי אני פשוט מחכה לאמ אנד אמ שלי
lilach, יואו ירקוב גם שם עומר אדם
lilach, לענות בכנות או באהבה?
lilach, חחחחח אז בכנות לא
lilach, אז זהו
lilach, חחחחח שלא תחזור זאת גם אופציה
lilach, חחחח מהמגזימים
lilach, יואו אני אחת הלא רקובות
lilach, מי אמר שאניי רוצה לחזור אחרי יומיים בחולל
lilach, יואו אני שונאת שאתה אומר לי רקובה
lilach, זה מחרפן אותי
lilach, חחחחח מה רקוב בי בכלל
lilach, <‎image omitted>
lilach, חחחחחחח לא היה לי כוחות
lilach, יואוווווו
lilach, הבעיה שאתה מגדיר אחרת רקובה
lilach, ואני לא רקובה!!!!
lilach, אולי יבשה סבבה
lilach, וגם לא
lilach, זה שאני קרה שמעתי מאה פעם אבל אני לא יבשה ולא רקובה!
lilach, לא דווקא חברות שלי וחברים שהיו
lilach, סבבה לי ככה
lilach, טוב אתה סתם מעצבן אותי
lilach, תודה רבה
lilach, אמרת חמישי
lilach, חחחח אמרת חמישי ירקוב
lilach, אני זוכרת נו
lilach, בסדר הבנתייייי אבל פעם שעברה אמרת חמישי
lilach, חחחח טוב אני אגיע עם בלונים והכל
lilach, חחחחחחחח חי בסרט
lilach, אתה הרבה יותר רקוב
lilach, מישהו שיש לו כאלה יציאות לא מצחיקות
lilach, חחחחחחחחחח
lilach, כי יש לך יציאות כאלה
lilach, לא קשורות
lilach, ותמיד שאתה אומר אותם אני אומרת לך שאתה רקוב אתה לא שם לב
lilach, ואני בכלל לא רקובה לפי מה שאתה אומר
lilach, לא יודעת לא זוכרת אותם בעפ
lilach, שלא תעלב עכשיו
lilach, חחחחח שזה יהיה אני יגיד לך
lilach, ואז תבין
lilach, אה זה כי לא הבנת
lilach, שאמרתי שיט
lilach, ציפיתי ממך ליותר
lilach, מה לעשות
lilach, חחחח אינה נתנה לנו שיעורים היום
lilach, ואני לא מצליחה את התרגיל הראשון
lilach, חחחחחח ממש מטומטמת
lilach, אמרתי השנה אני משקיעה
lilach, אז אני מנסה
lilach, חחחח פאדיחה עזוב
lilach, אתה לא תזכור את זה
lilach, <‎image omitted>
lilach, 22
lilach, שנייה אני יבדוק
lilach, חח מינוס 1
lilach, אבל יפה
lilach, טוב אתה גם מסביר או רק משוויץ?
lilach, וואלה
lilach, יפהה
lilach, חחחחח לקח לי זמן
lilach, חחחח בסדר היום התחלנו את זה
lilach, שתוק
lilach, חחחחחחחח אויש
lilach, אני מכירה רק אחת כזאת
lilach, וזאת לא אני כן
lilach, תנחש
lilach, חחחח היא לא אצל אינה איך אופיר
lilach, למשל עכשיו יצאת רקוב
lilach, חחח כן היא תופסת ממך חכם
lilach, חחחחח לא מבינה אותך
lilach, אתה כן
lilach, אתה כןןןן
lilach, אתה לא זוכר
lilach, חחחחח אני אומרת לך במאה אחוז שאתה כן
lilach, בגיבור האלמוני
lilach, הייתה גרה שם אז
lilach, נו כזה ליד משה דיין
lilach, לא משנה אתה רקוב אתה לא זוכר
lilach, חחחחחחחח כן ממש אני בטוחה
lilach, לא משנה בכלל
lilach, חבל
lilach, רצתה לא יצא
lilach, אויייייי נו באמת
lilach, אני אפילו לא יענה לך על זה
lilach, חחח אני הולכת לעבודה אני ימשיך מתישהו
lilach, בגולף בגבעתיים
lilach, <‎image omitted>
lilach, יש לנו עובדדד חדש
lilach, מתגייס לצוללות
lilach, סוף סוף מישו בגילי
lilach, חתיך
lilach, חחחחחחח נשבעת לך
lilach, אל תדאגגג
lilach, אין לך מה לקנא
lilach, יש לך בכלל חברה
lilach, 😌
lilach, 😡
lilach, די ריקבון
lilach, חחחחח
lilach, תגיד לי
lilach, מה אתה עושה כל היום באמסטרדם
lilach, חוץ מלדבר איתי
lilach, חחחחחחחחחחח
lilach, באמת שאתה לא יכול
lilach, אין בעיה
lilach, ביי
lilach, חחחחחחחח אפילו 5 דקות לא חיכית
lilach, אז?
lilach, יכול להיות
lilach, יכול להיותתת
lilach, אה אני מעבירה לך את הזמן?
lilach, צודק
lilach, מעצבן
lilach, למה אני מעצבנת
lilach, לא בכוונה
lilach, אוי זה בצחוק
lilach, מה אתה מתעצבן כל דבר
lilach, אז תירגע ומהר
lilach, ריקבון
lilach, איזה כיף סוף סוף הגעתי הביתההההה
lilach, מההה קשור
lilach, כי הייתי בעבודההה
lilach, אידיוט
lilach, שתוק
lilach, טוב
lilach, זהו כבר לא משעמם באמסטרדם?
lilach, כי אתה כבר לא שולח הודעות
lilach, חחחח אתה לא חופר נו מה נפגעת
lilach, טוב שתדע שצחקתי נשבעת לך
lilach, אוכלתתת
lilach, חחחחח היה לי משהו של הצופים אז קיבלתי אישור
lilach, מה אתה אוכל
lilach, שלי בטוח יותר שווה
lilach, <‎image omitted>
lilach, חחחחח יואוו
lilach, מזה
lilach, הבנתי ירקוב
lilach, כאילו יואו מזה כמה אוכל
lilach, לא הבנת מפגר
lilach, חחחחח הילד
lilach, תגיד ניב
lilach, חחחח אני לא
lilach, אבל כאילו אני יודעת
lilach, רוצה מה
lilach, חחחחח פחות פחות מגרה
lilach, מחרר אתם חןזרים
lilach, באסה
lilach, כן נו
lilach, חחחחח אל תהיה כל כך בטוח
lilach, חחח לא שמתי לב בכלל
lilach, אויש
lilach, קיבלת לייק רקוב
lilach, תיזהר אני יוריד
lilach, לא נכנסת בשבילך שוב לאינסטרגם
lilach, תתמודד עם הלייק שלי
lilach, אז חבללל
lilach, חחחחח אבל לפני שניייה גם לייק לא רציתתת
lilach, חחחחח איזה פיצול
lilach, לא זה סתם דווקא
lilach, אם לא היית מבקש הייתי מגיבה
lilach, <‎image omitted>
lilach, 10
lilach, <‎image omitted>
lilach, חחחחח הכי טוב שלא ייכנסו
lilach, קוראים לה עמית
lilach, מתגייסת
lilach, במרץ
lilach, חחחחח חכה אני אברר לך
lilach, עמית רון
lilach, 😌😌
lilach, חזרת ירקוב?
lilach, בשבטט
lilach, אתם יוצאים היום?
lilach, אכן
lilach, לקמפוס או לטמפטיישן
lilach, למדנו
lilach, אולי ניפגש
lilach, אז לא ניפגש
lilach, חחחחחחח רוצה מאוד
lilach, חחחח אבל לא הכחשתי
lilach, לא הפעם לא
lilach, אתה סתם רגיל לזה ממני
lilach, בכיייף
lilach, לאאאא
lilach, איפה הלכתם
lilach, חבר
lilach, רק חבר
lilach, נחשוב עליו בפעם הבאה
lilach, אולי אתה שכחת
lilach, חחחחחח
lilach, נהנת אתמול?
lilach, חחחחח מה נתקעת עליו
lilach, היה נחמד
lilach, אכלנו מלבי
lilach, חחח במלבייה
lilach, מחר אתה בבקום??
lilach, באסהה
lilach, חחח אני בביהס
lilach, חבל הייתי באה
lilach, חחחחחחחח
lilach, עכשיו אתה שם שבוע?
lilach, כיף
lilach, חחחחחחח
lilach, יואו באמת באסה שתדע
lilach, סתם אתה תהנה
lilach, שתשתעמם שם תדבר איתי
lilach, חחחחח אני ישלח מבטיחה
lilach, שיהיה לך למה לחכות
lilach, עוד לא ניפגשת עם אופיר???
lilach, כןן כל השכבה שלנו שם לא כיף כבר
lilach, למה לא ביחד?
lilach, כי אתה לא נפגש איתה חבר חרא
lilach, חחחחחחחח מצטערת
lilach, תעשה חיים
lilach, ❤️❤️
lilach, חחחח אני בטוחה
lilach, כי אתה לא דואג להיפגש עם חברה שלך
lilach, איך אתה יכול שלא לראות אותה
lilach, עכשיו אתה פנוי
lilach, אתמול יכולת לפגוש אותה
lilach, יש מלא זמן
lilach, זה סתם תירוצים
lilach, אז לפני זה
lilach, או אחרי זה
lilach, נו סבבה מה הבעיה
lilach, בקיצור אם היית רוצה היית נפגש איתה
lilach, גם ביום שישבתם אצל אלירןנ
lilach, חחח מה אתה מתעצבן
lilach, מצטערת לא התכוונתיי
lilach, הכל מצוין
lilach, נרגעת?
lilach, בקניון
lilach, כן אפילו שתי מתנות
lilach, שתדע ששמתי לב שלא עשית לייק
lilach, חצוף
lilach, חחחחחח אתה עסוק מדי חשבתי
lilach, חחחחחח שתחזור אתה מוזמן
lilach, סגור
lilach, תגיע עם האמ אנד אמ
lilach, חחחחחחחח
lilach, אתה יכול להגיע גם בלי זה בסדר
lilach, אני יכניס אותך
lilach, חחחח מה אתה לא נרדם מהתרגשות?
lilach, חחחחחחחחח אוי
lilach, אתה לא במסיבהההה
lilach, מעאפןןן
lilach, תפסיק להעלב
lilach, מילה שאתה נעלב ירקוב
lilach, טוב
lilach, אתה כבר יודע שלא אז דיי
lilach, ממש לא
lilach, חחחח יש לי סיור מחר
lilach, יואוווו אתה יודע מה ניזכרתי
lilach, שפעם היה כזה טיול למשלחת שלנו של לוס אנגלס ושלכם של פולין
lilach, ולבשת לאחת הבנות גינס קצר
lilach, מה לא הבנתתת
lilach, שהיינו בכיתה י
lilach, אז עשו טיול כזה למי שיצא ללוס אנגלס מהשכבה שלנו ביחד עם מי שיצא לפולין מהשכבה שלכםםם
lilach, והיה ממש חם
lilach, ואז לבשת בצחוק את המכנס הקצר של אחת מהבנות אצלכן
lilach, חחחחחחחח ניזכרתי כי מחר יש לנו כזה טיול של מי שיוצא לפולין
lilach, איך היייה?
lilach, חחחחח כולם אמרו שכיף שם
lilach, כאילו כי זה עם כל החברים
lilach, חחח תמיד אתה רוצה להתחלף איתי שמת לב
lilach, לאלא
lilach, אתה מת להיות כמוני
lilach, אתה מת להיות יפה וחכם כמוני
lilach, חחחחחחחחחחחחחחחחח
lilach, מתנשא
lilach, אני יודעת
lilach, אני צנועה זאת פשוט האמת
lilach, אה טוב
lilach, ריקבון
lilach, באמת שאתה יותר רקוב
lilach, יש עוד זמןןןן
lilach, בנובמבר
lilach, גם אז תרצה להתחלף איתי
lilach, חחחחחחחחחחח
lilach, מה זה העוקצניות הזאת
lilach, אני כבר הפשרתי
lilach, לא חייב לדבר כבר מעכשיו אם לא בא לךךךךך
lilach, לא לחוץ לי
lilach, שוב אתה נפגע
lilach, חחחחח אבל אתה אמרת ראשון שאתה לא רוצהההה
lilach, אתה רואה אותי נפגעת? לא
lilach, אמרתת שלא נדבר עד אז זה אותו רעיון נו
lilach, יואווו הריקבון שלך עובר כל גבול
lilach, יש עדיין ריקבון
lilach, קצת אבל יש
lilach, יש יש
lilach, יעבור לך מתישהו
lilach, לא עבר ליי
lilach, מי אתה שתקבעע
lilach, חחחח לי יש הזכות כי אני זאת אני
lilach, אני יותר חכמה ממך
lilach, אז מותר ליייי
lilach, להגיד לך מה שבא לייי
lilach, זה קשור
lilach, אני אבל זה לא סתם בן אדם
lilach, אני מיוחדת
lilach, לך
lilach, אתה מעריץ אותי
lilach, אני יודעת
lilach, תגיד לי אתה
lilach, סתם הרגשהה
lilach, חחחח אבל אני מרגישה ממך שאתה מעריץ אותי
lilach, אל תכחיש
lilach, טוב אז אין לי זכות להגיד שאתה רקוב?
lilach, חבל הרגשתי חשובה
lilach, יופי אז מה הויכוח
lilach, אתה מרגיש חשוב?
lilach, זה חשוב מאוד
lilach, צודק
lilach, 👊
lilach, אתה יותר 👎
lilach, 💯%
lilach, שעהה חיפשתי את המאה הזה
lilach, מה יוסייי לא היה אתמול?
lilach, נוי עכשיו אמרה לי
lilach, למה הוא לא בא
lilach, אבל זה היום הולדת שלו
lilach, אין אתן חבורה של רקובים
lilach, אתם
lilach, אתן זה גם הגיוני אצלכן
lilach, חחחחח באמת שאם הייתם בגילנו גם אתם הייתם שם
lilach, לאן כבר יצאתם
lilach, בסדר אנחנו יותר איכותיות ובא לנו בר
lilach, למה לא שותות
lilach, שותות אבל לא במוגזםםם
lilach, כן
lilach, לא שתית אתמול?
lilach, לא
lilach, מה לא עאלק לא שתית
lilach, באמת ששתית
lilach, אין מצב
lilach, חחחחחח אז אתה סתם נראה תמיד גמור
lilach, מגנייב שתדע
lilach, חחח לאלא באה
lilach, לא היה לה כוח
lilach, תדבר איתה
lilach, רקוב
lilach, בגלל זה אתה רקוב
lilach, חחחח למה אתה חושב שאתה לא צריך?
lilach, חי בסרט
lilach, חחחחח המצב שלך כבר אבוד
lilach, חחחחחחחח סתם ברחה לי עקיצה
lilach, מאיפה אני יודעת איך אתה שואל אותי בתור מההה
lilach, חחח מחזיר לי יפהההה
lilach, חחחחחחחח רקוב מהשורש
lilach, למה לא יצאת בסוף
lilach, אז למה אתה עוד ער?
lilach, אני מפריעה??
lilach, לילה טוב בהצלחה מחררר ❤️❤️
lilach, איךךך שם?
lilach, חחחחחח לא קשה?
lilach, חחח מגניב
lilach, שלום שלום
lilach, חחח אתה ניראה לי עסוק
lilach, <‎image omitted>
lilach, מה קורה נאורררר
lilach, אלא מי
lilach, הכל טובוש מה איתך
lilach, איך בצבא😨😨
lilach, חחחח מתי אתה חוזר
lilach, אה הפסקה ארוכה
lilach, נכון
lilach, טוב קח את ריקי ריקבון שלך
lilach, ביי
lilach, חחחחחח לילך
lilach, אתה קצת
lilach, רגע מתי אתה בא לבריכה לשחררר
lilach, חחחחחח שחקן
lilach, הוא תמיד מזמין אותך
lilach, אתה תמיד מוזמן אז
lilach, <‎image omitted>
lilach, מישהו אמר שאסור
lilach, מי
lilach, מה
lilach, אה רקוב
lilach, חחחחחחחחח באהבה
lilach, היייי
lilach, מה קורה?
lilach, חצופים מדברים פה בלעדיי
lilach, לא מפלרטטת
lilach, מפלרטטעם איתי
lilach, ככה אתה מכיר אותי?
lilach, רק נראה
lilach, <‎image omitted>
lilach, נאור איזה מזל אתה
lilach, <‎image omitted>
lilach, סתםם
lilach, <‎image omitted>
lilach, חחחחחחחח יש לך בכלל כלב
lilach, חחחחחחחח תמות
lilach, מתיי אתה חוזר
lilach, זהו
lilach, מעאפן
lilach, איזה חייל
lilach, יואו
lilach, באמת??
lilach, כיף לך
lilach, חחחח אני עושה שיעורים בוקטורים
lilach, אני גאה בעצמי
lilach, התגעגעתי קצת לא הרבה
lilach, כן קצת
lilach, אתה התגעגעת?
lilach, רק את האמת
lilach, קצת כמוני?
lilach, חחחח לא אמין
lilach, <‎image omitted>
lilach, מטל אלייך באהבה
lilach, למה כועסס
lilach, אני אמסוור
lilach, מי אמר שלא?
lilach, אתה טועה
lilach, סתם עיצבנת אתמול
lilach, בלעה אותך האדמה או משהוווו?
lilach, אייייייזה אושרררר
lilach, חחחחחח שמחה בשבילך
lilach, חחחחחחחחחח
lilach, גם בשבילי
lilach, איךךך היה?
lilach, בטח לא הכרת חברים כי אתה מעאפן
lilach, חחחחחחחחחחח
lilach, מי אתה בכללל
lilach, אני מכירה מלא
lilach, חצוף
lilach, כןןןן
lilach, לחחחחחחח
lilach, לא בעיניי
lilach, יןאו פיספסתי את הצופים היום
lilach, פעם ראשונה בחיים
lilach, חחחחחחח אני לא מדריכה אני ראשגדית
lilach, רמב מעל כולם
lilach, כהרגלע
lilach, כהרגלי
lilach, כן
lilach, מה איך
lilach, ראשגדית ד
lilach, ניראה לי אתה בכלל לא יודע מה זה חחחח
lilach, למה שלאאא יתנו לי אני מלכה
lilach, ותותחית
lilach, חחחחחחחח בסדר רק בצופים אני משו
lilach, ביום יום לא ככה
lilach, חחחחחחחחח
lilach, חושבתת שכן
lilach, אם הבנות יעשו משהו
lilach, אתם יוצאים?
lilach, לאן
lilach, לא יודעת אבל לא לבר נמאס לנוו
lilach, חחחחח מה קשור
lilach, כל שבוע אנחנו שם
lilach, אנחנו מגוונות
lilach, נשב אצל חברים או שנלך לאכול משוו נראה
lilach, לא כל מי שלא יוצא לאן שאתה יוצא הווא רקוב
lilach, אתה לא מבין נאור נהרס לי האוטו
lilach, לא יודעת הוא היה אצלי חודשיים
lilach, ופתאום נדלקה מנורה
lilach, ולא התייחסתי אלייה
lilach, מנורה כזאת שאחר כך התברר שקשוקה למנוע
lilach, נדלקה איפה שכתוב המהירות נו
lilach, בקיצור אחרי שבוע שנסעתי ככה פעם אחת לא נדלק האוטו
lilach, בקיצור אני לא יודעת מה לעשות
lilach, אמרתי
lilach, הוא שאל אם זה נוסע רגיל
lilach, ואמרתי שכן
lilach, וזהו הוא שכח חחחח
lilach, כן אוף עכשיו אני לא יודעת מה אני יעשהה
lilach, כבר התרגלתי לאוטוווו
lilach, אין מצב שאני הולכת ברגל שוב יחחחחח
lilach, הוא בתיקון עכשיו
lilach, אבל נראה מה יהיה
lilach, כי הוא לא נדלק
lilach, לך לישון
lilach, אני גם גמורה
lilach, מתי חזרת בכלל?
lilach, טוב אז כדאי לך ללכת לישון
lilach, כי גם אני הולכת לישון
lilach, ואז לא יהיה לך מה לעשות
lilach, חחחחחחח ברצינות
lilach, חחחחחחח בגבול המעליב
lilach, מזל שאני לא לוקחת אותך ברצינותתתתת
lilach, אני לא היחידה שמעבירה לך את הזמן?
lilach, חחחחח אז מה אתה מזיין את השכל
lilach, לוקחת
lilach, כייי אתה התחלת נווו
lilach, חחחחחחחח
lilach, טוב אני נרדמת
lilach, חחחחחחחחח
lilach, נדברררר
lilach, ביושששה
lilach, ❤️❤️❤️❤️❤️
lilach, 💙💙💙💙💙
lilach, אל תאיים סתם
lilach, בוווווווקר טוב
lilach, חחחח ישיר
lilach, כן
lilach, חחח עניתי לך ירקוב כתבתי כן
lilach, אהה חחחח עכשיו קראתי את השאלההה
lilach, רק קמתי אתה כבר מטריד אותי עם שאלות
lilach, כי אם אתה רוצה לדעת משהו על טל תשאל אותה לבד
lilach, אבללללל עניתי לך
lilach, למה אתה מסבך אותי
lilach, אמרתי לך
lilach, לא כעסתייייייי
lilach, תשאל חופשייי
lilach, עכשיו סופית שיגעת אותי
lilach, נכון
lilach, כבר אין לי כוחות להתווכח איתך
lilach, חחחחחחחח כתבתי בוקר טוב בנחמדות ואתה ישר מעצבן
lilach, סולחת
lilach, ❤️❤️
lilach, לא אין מצב שאני ממשיכה
lilach, חחחחחחחחח
lilach, מגיע לך
lilach, עכשיו אני סולחת באמת
lilach, אין לנו כוחח
lilach, החלטנו שהיום לא
lilach, כבר מיצינוו
