sender,message
ori, הוא באמת טעה סופנית בשאלות שמה
ori, גם וגם
ori, רוצה לנסות להרים משהו מגניב
ori, עדיין לא
ori, אני מכין את האתר ככה שיהיה לי איך לבדוק את השרת
ori," לעע, זה סתם למתחילים"
ori, וואי איזה נפילה בחדוא...70
ori, פשוט נשחטתי שמה
ori, כמה אצלך?
ori, 83?
ori, יפה
ori, כל הסמסטר הזה אין לי סופי מעל 70...
ori, זה ככ עצוב
ori," כה, מקווה לשפר באחרים"
ori, מה איתך? מה עושה בזמן האחרון?
ori, מתכונן נפשית לטירונות?
ori, אה יפה
ori, ייאאלללהה
ori, איזה כיף
ori," שמע, אתה לא תרצה לחזור "
ori, תנסה להתחיל ללמוד משהו פרקטי כמו לבנות אתר
ori, ללמוד סתם שפה יהיה לך קשה להציב לעצמך גבול
ori," וגם כשתצליח, לא יהיה משהו לראות ולהיות גאה בו, כי זה סתם קוד שעוהד"
ori, עובד*
ori, אנדרואיד זה ממש מעולה
ori, עדיף מאתר
ori, זרוק את האתק
ori," עדיף, חד משמעי"
ori, עדיין מחפש פה ושם
ori, עדיין לא סגרתי
ori, אלמוג כנראה
ori, ננאאווורר
ori, הלכת למקומות שדיברנו עליהם?
ori," הייניקן, מדאם טוסו, אנה פרנק, bosy world, מוזיאון הסקס"
ori," אחרי שעשית את כל זה, לך תעשה שייט פנקייקים"
ori," שמע נאור, מונגו זה הדבר הכי קל שיש"
ori, אין דברים כאלה..נוחות מדהימה
ori, כה
ori, אחד הדברים
ori, ממליץ בחום
ori, יצא טוב לקורן
ori," מגניב, ניצנים זה איפה שאני עשיתי"
ori, לפני 6 שנים
ori, יצאת ראש השנה?
ori, יצא לך טוב
ori," באסה פעמיים לסגור אבל לא נורא, אתם עם כולם"
ori," שמע, אני מוכן לעזור לך ללמוד מונגו"
ori, ההתקנה לקח לי שעה וחצע בערך
ori, עכשיו זה יהיה זריז יותר..להבין את זה לוקח 10 דקות
ori, יאפ
ori," דברים מסובכים טיפה יותר קשה, כי קשה להבין מה יעיל יותר לפעמים"
ori, צריך לקרוא יותר
ori, יאפ
ori, בוא נגיד ככה
ori, כל הפרויקט שעשית
ori, היית מסיים בשעתיים גג
ori, כה
ori, עם לאכול באמע
ori, באמצע
ori," ועדיין לא מצאתי דירה, יש לי קצת נאחס עם זה..עדיין מחפש"
ori," נפגש בתחילת השנה מתישהו, לפני שמתחיל הלחץ. אני אראה לך"
ori, אם תרצה תביא גם את קורן אם בא לו
ori, נפזר את זה לכולם
ori, תודה 
ori, איך בטירונות?
ori," אוטוטו נגמר, לא?"
ori," סלמתק, נחמד"
ori, כה..עבר מהר מידי
ori," נפגש שיתחילו הלימודים שוב, נלך נשב איפשהו"
ori, יש לך שותף ב  spl?
ori," וואלה כה, אנחנו שותפים "
ori, תודה
ori," זה היה רעיון טוב, היא חזקה"
ori, ניתן לוויכוח 
ori, בסופש
ori," לא, מישהי אחרת"
ori," חחחח, חזרתי לחברה של פעם"
ori, לא מישהי חדשה
ori," בקרוב נגמר, היא טסה לדרום אמריקה לחצי שנה בדצמבר "
ori, צריך לחפש תחליף בקרוב
ori, הסתבכת איתי!
ori, לא באת
ori, אז אתה תגאל את עצמך
ori, בא או לא?
ori, ליד הגוני קריספי מימין
ori, יש בר חדש שמה
ori, באר
ori, כל השאר מפוצץ
ori, לא
ori, רשום שמה להגיש לבד
ori," התחלתי באקליפס, העברתי אחרי זה הכל ללינוקס ובדקתי ששמה הכל תקין גם"
ori, Vm
ori, זה נורא פשוט..הורדת wmware player?
ori, לך ליוטיוב
ori, תחפש
ori, Linux tutorial for beginners
ori, יש מישהו בשם thenewbuston
ori, 3 סרטונים קצרים ראשונים שלו הוא מראה לך איך להוריד ולסדר הכל
ori, נאוור
ori, לא
ori, זה החדש
ori, אבל שים לב שכשאתה מוריד אובונטו
ori, יש גרסה שנקראת lts
ori, תוריד את זאתי שנגמרת ב LTS
ori, אין הבדל
ori," אולי במעבדה משתמשים בזה, לא יודע"
ori, שבר
ori, אין לי מושג חחח
ori, גוגל
ori," שמע, 32 ביט נפטר מהעולם... אמרתי לך על זה עוד סמסטר קודם"
ori," בעיה...תחפש ,virtualBox"
ori, תראה אולי להם יש תמיכה
ori, אם לא היית עצלן היית אומר לך בוא אליי עם הלפטופ אני גם אעזור לך להריץ הכל ויראה איך עושים שטויות כמו הילדים הגדולים
ori, אני כבר מתחיל את העבודת בית הרביעית
ori, רוצה להעלות את השישית עד הסופש וזה יהיה מאחוריי
ori, ניסית virtualbox?
ori, פרמט אותו הסופש תתקין 64
ori, יש זמן עד להגשה של המטלה הזאת
ori, 15 לנובמבר נראה לי
ori, כל שבוע יש
ori, הבנתי שגם באוטומטים זה ככה או משהו כזה
ori, לא בדקתי עדיין
ori, יש בהכל עבודה חוץ מהסתברות אצלי
ori, אבל או ספרתיות או אוטומטים יש גם כל שבוע מטלה
ori, פשוט זוועה
ori," בspl צריך לסיים הכל בשבועיים, אני אומר לך..אחרי זה שוקעים"
ori, אני גם מתכוון ללמוד את כל ספרתיות החודש וזהו
ori," אין לך ספרתיות, אבל הקורס הדומה אצלך כמעט אותו דבר"
ori, כיף
ori, אני פה בחדר מחשבים
ori, צלם לי את הבנאי שלך
ori," שנייה בודק אצלי, תעשה טובה, שמור את כל הקבצים ותעשה בילד"
ori, זה 80% פותר
ori," אני אבדוק מול שלי, שנינת"
ori, שניונת*
ori, כן..בראשון
ori," פאק, אין לי מושג"
ori, שאתה מוחק את הקונסט זה עובד?
ori, איפשהו ניסית לעשות שווה לו?
ori," תמות, בידיוק עליתי על זה"
ori, למה? לא יודע חחח בידיוק קראתי על זה
ori, Magic
ori," סתם, רגע"
ori, יכול להיות שאתה יוצר שמה pc עם קונסט?
ori, תראה לי שנייה את איפה שאתה יוצר מחשב ושולח לdns
ori, כן..
ori," רגע, ההכנסה?"
ori, לא
ori, לא ככה מכניסים לhash
ori, זה לא c# אחי
ori, <‎image omitted>
ori," זה ממיין לפי הא""ב"
ori," הם רצים על המחשבים בסדר הפוך לא""ב"
ori, כי ככה זה בפלט שלהם..
ori, עכשיו עובד?
ori, זדרז
ori," במקום כל פעם לרוץ על הmap ולהוציא את השמות של המחשבים, למה פשוט לא לשמור וקטור וזהו?"
ori, O(1) אחי
ori, 
ori, רשמו באתר שאפשר גם וגם
ori," פשוט אני יוצר פוינטר שאני שולח, אז עדיף לקבל פוינטר מרפרנס"
ori, זמין
ori, זריז אתה
ori, כן
ori," טיפה לוגיקה במיין, לא משהו מטורף וזהו"
ori, כן
ori, עשית דברים יותר מסובכים מזה
ori, רק תבדוק בסוף שאין לך דליפות זכרון
ori, יש תוכנה שנקראת valgrind
ori, מריץ שורה קצרה והיא בודקת
ori," רושמת לך בסוף אם יש או אין, ואם יש אז איפה"
ori, Destructor
ori, מה איתו?
ori, כל הפוינטרים
ori, אני מבין שאתה בתוך הפרויקט שלי חחח
ori, Erase לא צריך בעבודה נראה לי
ori, זה נטו למחוק את התאים עצמם
ori," בכל מקרה הם ימחקו, זה סתם סדר שלי"
ori, בכיף
ori, פשוט מעתיק את השדות בזה של אחרי ה 
ori, ושים לב שאם זה פוינטר צריך לעשות חדש
ori, כדי שבטעות לא יסתכלו 2 מצביעים לאותו מקום
ori, בכללי אומר
ori, אז?
ori, באותו קלאס מותר לך
ori, מותק לך לגשת לשדות הפרטיים של משתנה מסוג x אם אתה כותב בתוך המחלקה x
ori, מותר*
ori," כי זה instance אחר אבל מאותו סוג, אז אתה יודע כאילו מה יש לו מה אין ל"
ori, ו
ori, גם ב java וב C# זה ככה
ori, צלם
ori, אין דבר כזה לא עובד
ori, יש טעיתי
ori, מה כתוב?
ori, שים לב שההשמה שמה צריכה להיות לפי הסדר שזה כתוב בקובץ h
ori," סבבה, תקרא מה רשמתי"
ori, ובחיאת אחותך נאור
ori, תרשום מסודר
ori, תעשה שיהיה קריא כמו אצלי
ori, אתה חתיכת עצלן
ori, <‎image omitted>
ori, יש הבדל קל
ori, אם היית מסכים שהצעתי לך גם לא היית מתלונן עכשיו עם הקול העייף שלך
ori, אוננת שבועיים ועכשיו נשמע כאילו אתה מתלונן
ori," בסדר, גם לי"
ori, אפילו עכשעו אני כבר יושב על אוטומטים..ויש לי בוחן כבר שבוע הבא
ori," שעות שלמות, פשוט שעות..רק לעשות 3 סעיפים משאלה 1"
ori, מזה החרא הזה
ori," לצייר כמו בן זונה, לכתוב רת האוטומט פורמאלית כמו כוס רבאק ולהסביר כמו כלב"
ori, סאמא שלה
ori, ם
ori, אני ציורי
ori, אני בן אדם ציורי
ori, ....
ori, לא
ori," סתם, במיטה. מה צריך?"
ori," האמת שלא, אני אצל שותף שלי סוגר את העבודה הסריחה באוטומטים"
ori, למה?
ori, Valgrind אין מה לדעת
ori, פשוט רושם valgrind --leak-check=full ./bin/cyber.o
ori," תסתכל אצל אחרים, יש מלא שהעלו מייקפיילים שלהם בפייסבוק ושאלו עליהם שאלות"
ori, מה מצב העבודה?
ori, וחוץ מזה בידיוק כמו אצלם?
ori, כן
ori," ליגה, רחלה"
ori, אחלה*
ori, תעשה לפני השורת delete תנאי לראות אם יש שמה משהו
ori, לפני דעתי זה פשוטהחלק שזורק לך שגיאה
ori, If(cyber_worm_) ...
ori," ומתי שאתה מוחק, אחרי זה שים NULL שמה"
ori, בכל מקום במחלקה תעשה את זה
ori, הכל במחלקה CyberPc
ori, לא פה
ori, בinfect
ori, <‎image omitted>
ori, כן
ori, ועכשיו אותו דבר במתודה Disinfect
ori, קמפל ותריץ
ori, סלמתק?
ori, תעשה חיים
ori," ניסית למחוק אוביקט שלא קיים, זרק לך שגיאה"
ori, בכיף
ori, שקורן מגיע לדירה שלח לו כאפה ותגיד לו שישלח לי לינק מהר לפני אני עושה לו כיפה אדומה
ori, לא ענה לי בווטס אפ
ori, התחלנו הקטנה..אני מעוכב עם זה עד שירדן תסיים את הבוחן שלה בראשון..
ori, כן
ori, עדיין לא הוספת שמה את gson
ori, <‎image omitted>
ori, סעמק איתך. כן.
ori, לך לקובץ pom באקליפס
ori, תלחץ עליו
ori, יש לשונית dependency מימין
ori, יש לך 2 טבלאות כאלה
ori, השמאלית יש add או משהו כזה
ori, תרשום בשורה הראשונה
ori, Com.google.xode.gson
ori, Com.google.code.gson
ori, בשורה השנייה תרשום gson
ori, שורה שלישית 1.7.1
ori," מקווה שלא טועה, זה מהזכרון"
ori, קיצר תשמור
ori," אחותך בגבס, יש כזו"
ori, ואז gson זה משתנה שיכול לפרסר גייסון
ori, תסתכל למטה
ori, פיסח
ori, מזדיין בעיניים? 
ori, Dependencies
ori, סתם דרך פשוטה להוסיף ספריות חיצוניות
ori, עזוב את האקסמל
ori, למרות שזה כבר נראה טוב
ori, עכשיו לך תפרסר גייסון
ori, תקרא קצת על gson
ori, נו אז לא נשאר לך הרבה
ori, תעשה c קטנה אולי
ori, בcon
ori, com*
ori, לא
ori, זה ההנחיות שלהם
ori, תבדוק אנד שיט
ori, תשמור את הpom
ori, יענו קונטרול s
ori, תלך לdependencies שוב
ori, לאיפה שהתווסף בטבלה gson
ori, תלחץ עליו פעמיים ותצלם לי
ori," אוקי, ומה לא עובד עדיין?"
ori, אין לי שמץ
ori, תנסה להעיף את המייבן ולהוסיף מחדש
ori, לי זה עזר
ori, תלחץ כפתור ימני על הפרויקט שלך
ori, Maven
ori, Disable maven nature
ori, כלום
ori," אין לי שמץ אחי. תדבר עם ירדן, היא עבדה על החלק הזה היא טובה בו"
ori, זה מה שאני עשיתי רק שהחלק שהיא כתבה יעבוד לי
ori, רק ה Gson
ori, בלי כל מה שמתחתיו
ori," אבל אנחנו נשינו משהו מקצועי, יש סיכוי שאתה צריך את הכל "
ori, אנחנו עשינו*
ori, כן
ori, FromJson
ori," אחי, אתה כותב לי שמה המרות ממערכים"
ori, אתה חושב שאני לא רואה בגלל באימפורט? 
ori, לא חושב שיש יותר יפה משורה אחת
ori, שורה אחת
ori, אחת
ori, א-ח-ת
ori, שב
ori, <‎image omitted>
ori, שבי
ori, אבל לא עשית
ori, כי אתה תעת
ori, תעת גדול
ori, אין לי מושג אמרתי לך
ori, ירד יודעת
ori, כן
ori, פתאום אתה מופתע
ori, פתאום זה נשמע לך מקצועי
ori, פתאום אתה מבין שאתה סתם תעת 
ori, תעת
ori, כל הכבוד
ori, תעת
ori," כן, יש לי 17 מילים חדשות"
ori, כן
ori," רק שכרגע היא בחו""ל"
ori," כה, היא סגרה טיול לגרום אמריקה לפני שהתחלנו לצאת"
ori, ועכשיו היא שמה
ori, היינו חברים פעם
ori, חחח
ori," לא, היינו עכשיו 4 חודשים ביחד"
ori, ולפני שבועיים היא טבה
ori, טסה*
ori, תוידה
ori, כלי להביא ספריות מהאינטרנט
ori, בגדול כן
ori, לא ישאלו איך זה באמת קורה
ori, גיי
ori, ראית מה העלתי בפייסבוק צעצוע?
ori, אחלה
ori, בכיף
ori," אחותך ערה, מה הולך?"
ori, הייתי בעבודה
ori, לא מכיר דבר כזה
ori," מכיר רק שצריך ריאקטור, ובטוח הריאקטור אתה מממש thread per client"
ori, כה
ori, הריאקטור כל מה שהוא עושה זה בגדול רק למנוע מצבים של טרדים מבוזבזים
ori, והוא פותח טרד לכל בקשה
ori," לא לכל קליינט, טעות שלי"
ori, מי אמר לך שצריך לעשות טרד פר קליינט?
ori," אז כן, כנראה צריך 2"
ori, ככה הם רוצים
ori, כן
ori, אין לי מושג
ori, ולמה אתה נוגע בקוד?
ori," אחי, כל העבודה הזאתי, בקליינט אתה לא נוגע בקוד של הקליינט"
ori, ובסרבר אתה רק צריך לעשות התאמות
ori, פיצלת ל 2 טרדים?
ori, אז מה אתה שואל שאלות של ילדות
ori, תרים 2 טרדים
ori, אחד מאזין לקלט מהמשתמש ושולח לסוקט
ori, אחד מקבל מהסוקט
ori, ומציג את ההודעה שהתקבלה
ori, אתה יכול לכתוב גם 400 הודעות לסוקט
ori, אבל לא בהכרח שהם ישלחו ישר
ori, וגם לא בהכרח שהכל יחזור בסדר שליחה
ori, זה גם משהו שצריך להתחשב בו
ori, נשאר ממש ממש טיפה
ori, אין לך שותף לppl?
ori, בגדול אפשר לעשות בבודדים סתם שתדע ף.. זה מה שתיכננתי.. אבל אם אתה רוצה אני יכול להציע לך
ori, קורן עדין צריך?
ori, כן יאללה
ori, לא בידיוק
ori, כי ב c# אתה יכול להצהיר על event מבלי להעביר אותו לקלאס מסויים
ori, זא אתה לא צריך לקבל את המתודה או משהו כזה
ori, נכון. אבל זה לא הפוך
ori, אתה יכול גם ש delegateלא יהיה גלובלי. אבל ברוב המקרים הוא כן יהיה
ori, כי זו המטרה שלו
ori, לומד c# או שסתם קורס?
ori, דבר איתי חופשי אם יש לך שאלות
ori, אני גם פה בקיץ אם תרצה איזה יום שאני אשב ואעזור/אתן לך טיפים אם ממש תרצה לשבת ולהשקיע
ori, נכון. אם אתה מצהיר שהיא event
ori, <‎image omitted>
ori, בסגנון הזה
ori, <‎audio omitted>
ori, <‎image omitted>
ori, כן
ori, המתושה action.handler.onJoinClan זו מתודה שהחתימה שלה זהה בידיוק לחתימה של הdelegate OnJoinClan
ori, אני בדיוק בעבודה. אבל דבר איתי בערב שאני אבנה לך קוד דוגמה
ori, כדי שתוכל לקרוא אותו
ori, בעיף
ori, בכיף*
ori, בידיו.
ori, ק
ori, יאפ 
ori, קוד נקי ונקי מבאגים
ori, זה ועוש משהו שנקרא extention methods
ori, Extesion
ori, אחד משנינם
ori, שזה להרחיב מחלקה מבלי ליצור מחלקה
ori, נגיד להוסיף ל int פונקציה שנקראת toCommaSeperated
ori, כלומר שעבור כל מספר את מחזיר סטרינג שהוא מופקףרד עם פסיקים
ori, אז במקום לשלוח מספר למתודה עם סטרינג
ori, אתה יכול לעשות
ori, Int a = 1111.
ori, a.toCommaSeperated()
ori, תקרא. זה ממש פשוט להבין
ori, <‎image omitted>
ori, כך דוגמא
ori, קח**
ori, שים לב ל this שיש בפרמטרים של המתודה
ori, כן..תעתיק את המתושה לאנשהו ואז תיצור משתנה int ותראה כשאתה עושה נקודה זה יתן לך את המתודה
ori, בגדול אם אתה זוכר spl אז זה פשוט מזריק את המתושה ל v table לדעתי
ori, זה לא משנה. יכולות להיות לו מתודות וירטואליות
ori, זה כמו פוינטר לזכרון
ori, event אטומי ולא עובר by reference
ori, הפוך עם האנגלית..
ori, זה עובר כמו int
ori, יוצר שכפול
ori, ואתה רוצה את העותק המקורי שהמקורי ירשם למתודה
ori, לא שהשכפול שלו ירשם..כי אז המקורי לא ירשם
ori, כה
ori, כן..מתישהו איפשהו מישהו קורא ל event ואז זה מגיע ל delegate method
ori, יאפ
ori, כן
ori, רק שצריך לעשות משהו כדי לא לקבל nullreference
ori, <‎image omitted>
ori, זה מוודא שלא יהיה שגיאת null במקרה שאתה מבטל את ההרשמה לdelegate ב thread אחר
ori, יא
ori, לפעם אחרת
ori, טאסקים אסינכרונים
ori, תקרא על זה
ori, זה מחכה לפעולה של אסינק טאסק
ori," וכן, בין היתר מונע דד לוק"
ori, מצהיר שמתודה עושה await
ori, כן. אבל לא נועל שום טרד
ori, המטרה היא שאם אין אפשרות להביא נתון או לקבל זמן עיבוד הוא משחרר את הטרד עד שאפשר
ori, סוג של ריאקטור
ori, בידיוק
ori, שרתים שתמכו 1000 בקשות במקביל טיפסו לבערך 7000 רק עם השינוי הזה
ori, סתם שיהיה לך מושג על כתיבה בדרך הזו
ori, זה בידיוק הסלקטור
ori, כן
ori, בנוי לבד והרבה הרבה יותר טוב
ori, במקום לבדוק פעם בכמה זמן הוא מקבל איוונט מהמערכת
ori, אני הצעתי לך בכיף
ori, בכיף
ori, נכון
ori, מזא?
ori, אגב.הבנת את הקטע עם הדלגייט או לכתוב לך קוד?
ori, תנסה לשלב 
ori, אני חושב שאי אפשר
ori, אבל לא בטוח
ori, אולי this ref int a
ori, אולי זה ישנה..
ori, אבל לא חושב
ori, Ref this?
ori, אין הבדל. בדרך כלל משתמשים באות הגדולה שרוצים להשתמש במתודות סטטיות ובאות קטנה כ type
ori, כמו עם string
ori, כי זה מתייחס לטייפ
ori, הכללי
ori, לא..זה לא איך שמשתמשים בזה
ori, שניונת
ori, שלחתי לך קובץ במייל
ori, תשנה את הסיומת ל rar
ori, תריץ עם ctrl + f5
ori, Wallla
ori, שלחתי גם לגימייל עכשיו
ori, כה
ori, ה event סתם עשיתי סטטי..אתה יכול לעשות מה שתרצה
ori, אי אפשר לרשת
ori, מזא?
ori, Delegate זו ההצהרה הכללית
ori, אני משתמש רק בזה
ori, <‎audio omitted>
ori, event זו הצהרה ככלית
ori, ואז אתה רושם איזה איוונט
ori, Acessor event delegate-type name
ori, כה
ori, +=
ori, אפשר גם לצאת עי -=
ori, לא
ori, Delegate זה רק לחתימה
ori, התכוונתי לקטנה
ori, זה במקום לכתוב את הטיפוס. סתם נוחות
ori, בגדול תמיד המוסכמה שכמדברים על event רושמים var
ori, הפעלת את הטרד?
ori, תראה את הקוד
ori, שנייה
ori, <‎image omitted>
ori, לא בהכרך
ori, בהכרח
ori, יש כל מיני פעולות מערכת שנגמרות. ב async
ori, תחפש מתודות כאלה ותוכל להשתמש
ori, כמו למשל ToListAsync
ori, אבל צקיך לחפש כאלה
ori, ReadFileAsync
ori, בגדול כן
ori, כה
ori, אני לא יודע מה WaitAsync עושה
ori, לא יודע
ori, זה משהו שאני צריך להסתכל עליו..
ori, תחפש על קריאת טקסט מקובץ
ori, יש לזה כמה אפשרויות
ori, או להשתמש במשהו כ type def
ori, או להפעיל אוביקט שממש iDispose
ori, שזה בגדול
ori, אתה חייב לנסות לקרוא על זה..קשה להסביר לך ספר של c# בווטסאפ
ori, בנוסף...כן
ori, בגדול אין לך ממש איך
ori, להאמין בקוד 
ori, או שתחפש על זה בגוגל
ori, מה הולך?
ori, חחח יש לי 3 טיסות הקיץ הזה
ori, חחחח לא יהיה
ori, כבד לי
ori, תודה על ההצעה!
ori, איך אתה עם האינטרפרטר של lp?
ori, זה הדבר היחידי שנשאר לי ללמוד עליו
ori, חומוס היום  עליי אם אתה עוזר לי היום
ori, 2-3 בחומוס אם ככה? 
ori, אחי אני נשבר מלקרוא דברים שאני יודע שלא עוזרים לי
ori, ואין דרך מובנת ללמוד לחרא הזה
ori, תמצא דרך
ori, אני אבוא. אבל צריך לאכול צהריים לפני
ori, אז הולך עם השותף שלי לחומוס סביבות 2
ori, אם אתה בא אני מזמין אותך
ori, בכללי נעבור על החומר. אבל נדבר כמה דקות מורחבות על הזין הזה
ori, סבבה. אני אגיד לך רבע שעה לפני ככה
ori, אני יוצא עכשיו אם אתה רוצה לבוא
ori, לא שאלתי אותך בסוף..מזה user defined procedure?
ori, בהקשר של הוספת פונקציה פרימיטיבית חדשה
ori, ובעד ונגד מתי כן ומתי לא
ori, הבנתי את זה גם..אבל לא ראיתי עדיין איפה מגדירים וזה
ori, 100% מחר נטו כי אני לא יודע
ori, שזה?
ori, אהה. זה קשור??
ori, איך?
ori, אבל איך זה אומר שהיא נהיית פרימיטיבית
ori, כאילו שאתה מוסיף אותה לרשימה שמה
ori, כמו עם derivation או להגדיר אותה ב interpreter core
ori, No
ori, נאור
ori, תחפש בגוגל..זה די פשוט להוציא את זה
ori, תנסה להתחבר עם ה ssms בהתחלה תראה שהשם משתמש וסיסמה עובדים
ori, נו אז אל תיהיה נחוי
ori, תשנה את ה windows authentication
ori, תתחבר עם משתמש וסיסמה
ori, אני לא מוצא את הפרויקט שלי שהיה כתוב בו את זה
ori, אז תחפש connection string שמתחבר עם windows authentication
ori, זה לא מצריך משתמש וסיסמה
ori, טוב..לא ציון כזה גרוע אבל לפחות לא מועד ב...קיבלתי 70 וירדו לי לפחות 12 נקודות על שטויות
ori, אבל באמת שטויות
ori, סופי 77
ori, אני לא אסתכן במועד ב
ori, בטח לך 80 ככה
ori, פיזדטס
ori, נהיית חכם אחרי שנה ראשונה. יפה לך
ori, נה..זה לא קשור אליי
ori, 2 ומחר אלגו
ori, באחד מה 2 יתכן מועד ב
ori, אבל האלגו הזה סרטן בשבילי
ori, כנראה יהיה 90+
ori, לא רואה סיבה שלא
ori, בשבילי מאוד זבל
ori, יש אחרים שזה קל להם
ori, אני שונא רצח את המקצועות הפורמאליים
ori, כן..לא השקעתי כל השנה 
ori, כן
ori, יש לך גישה שלמה למחשב
ori, אתה פשוט מעדכן את המקור
ori, כה
ori, איך הגעת לזה ולמה שתרצה להתגבר על זה?
ori, תקרא על lazy reading
ori, תממש את מה שאתה לומד קצת יחלש
ori, לא לקרוא את כל הקובץ ישר אלא שורה שורה
ori, זה ממש קל אחי
ori, אותו דבר אחי
ori, צריך משהו?
ori, בתור התחלה ניסיתם סתם להעלות שרת שמחזיר תשובה על כל בקשה?
ori, בלי יותר מידי אימפורטים וכאלה
ori, זה לא הגיוני כי אתם אומרים שהצלחתם לפתוח socket
ori, אוקי.
ori, אין דבר כזה
ori, תקשיב. תראה איפה אתה נופל
ori," אם הצלחת להרים socket ונוצר חיבור אז אני אומר לך מראש, השרת והקוד רץ"
ori, אם הסוקט לא מתחבר יש 2 אפשרויות. או קריסה של השרת בלנסות לייצב את החיבור או שבאמת אין שרת
ori, שוב. תרימו קוד פשוט יותר
ori, שהכל בו עטוף ב try catch
ori, אז תמשיכו לקרוא
ori, מזא?
ori, יע
ori, בגדול זה ממוין לפי פורטים
ori, כל בקשות http מגיעות ב 80
ori, Https 443
ori, Ftp 555
ori, ועוד
ori, זה לא קשור לזה
ori, אם אתה שולח בקשת https ששמה זה אמור להשלח זה 443
ori, ואז הסרבר יודע שזו הבקשה הזו
ori, מה אתה שולח בבקשה ומה השם שלה לא משנה
ori, זה משנה הפרוטוקול שאתה שולח בו
ori, ה IIas מאזין לכל מה שהוא צריך
ori, ואם יש לך סרבר על פורט 8077 נגיד
ori, אז הוא מקבל את הבקשה ב 80
ori, ואז מעביר אותה ל 8077
ori, אתה צריך לנתב אותו
ori, שאתה שולח בקשה אתה נגיד שולח משהו כזה
ori, Http
ori, ואז שהוא מגיע לשרת הוא מחפש מחלקה בשם myController
ori, ואז מתודה בשם DoSomething
ori," אחי, תקרא על בקשות http קצת"
ori, עלינו עם האתר החדש שלנו. יותר יציב יותר חלק יותר פיצרים. אומנם open beta אבל פתוח לליגה הישראלית. אם תרצו ליצור קבוצה לכו על זה..
ori, נע. אולי בקיץ
ori, וואלה סביר. יותר בעבודה מבלימודים חח. איך אצלך?
ori, תיצור web api
ori, זה משהו בנוי מראש שאתה רק כותב לו מתודות וזה
ori, אתה צריך ל http poat/get. או socket?
ori, Post*
ori, אז web api
ori, תוריד פרויקט דוגמא של זה ותראה. אחד הקלים
ori," אני כרגע לא בבית אבל בטוח שיש. אם לא תסתדר, דבר איתי אני אכתוב לך משהו"
ori, אתה צריך משהו של לייב
ori, כאילו שכל פעולה כולם מקבלים תשובה וזה
ori, זה קצת מורכב יותר
ori, יש משהו שנקרא aignalr
ori, SignalR
ori, זה משהו שתומך בלייב וזה
ori, כן
ori, זה לא כזה קל להזרק על זה בלי ניסיון
ori, במקום
ori, אתה צריך הרי שמישהו מבצע מהלך לעדכן את כולם וזה
ori, וגם רק לעדכן מי שבחר וזה
ori," זה לא הרבה קוד בכלל אם מבינים איך זה עובד. אבל שוב, לא קל להכנס לזה ככה. יקח לך זמן "
ori, אם היה לי זמן הייתי יושב איתך סוגר לך את זה בחצי שעה - שעה
ori, עד מתי יש לך?
ori, אני נמצא פה בשבת של עוד שבוע. אם תרצה אני כנראה בחמישי יהיה במעבדות ואוכל להראות לך
ori, אז חמישי יש לי קצת זמן. תוכל להגיע לשלד בסיסי בוודאות
ori, באיזה שפה הקליינטים?
ori, אבל אתר כזה או תוכנה?
ori, גם התוכנה?
ori, הכוונה המשחק עצמו. באיזה שפה הוא יכתב?
